Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,âˆšx (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,49.67,32.45,5.113,-0.33523,2.530e-2,0.043,0.0076,5351.111,4.055e-4,4.055e-4,4.055e-4,0_1:1.211e-2,0_1:334.222
Q1,114.12,153.66,5.161,-0.31827,1.560e-2,0.0214,0.0098,5351.111,4.748e-4,4.748e-4,4.748e-4,1_0:1.211e-2; 1_4:6.460e-3; 1_2:1.006e-2,1_0:369.778; 1_4:298.667; 1_2:504.889
Q2,111.75,117.78,5.311,-0.33184,1.280e-2,0.0192,0.0064,5351.111,2.918e-4,2.918e-4,2.918e-4,2_3:1.218e-2; 2_1:1.006e-2,2_3:483.556; 2_1:469.333
Q3,100.52,97.96,5.46,-0.31579,3.180e-2,0.0392,0.0244,5351.111,2.270e-3,2.270e-3,2.270e-3,3_2:1.218e-2; 3_5:2.242e-2,3_2:519.111; 3_5:583.111
Q4,85.44,32.31,5.353,-0.33131,1.680e-2,0.0246,0.009,5351.111,2.682e-4,2.682e-4,2.682e-4,4_7:1.241e-2; 4_1:6.460e-3,4_7:512; 4_1:263.111
Q5,64.49,99.88,5.303,-0.3322,1.830e-2,0.0326,0.004,5351.111,5.715e-4,5.715e-4,5.715e-4,5_3:2.242e-2; 5_8:7.895e-3,5_3:547.556; 5_8:270.222
Q6,136.63,16.62,5.136,-0.33611,9.900e-3,0.0164,0.0034,5351.111,1.925e-4,1.925e-4,1.925e-4,6_7:7.502e-3,6_7:405.333
Q7,77.28,152.99,5.203,-0.31733,1.100e-2,0.0152,0.0068,5351.111,2.404e-4,2.404e-4,2.404e-4,7_4:1.241e-2; 7_6:7.502e-3; 7_10:7.022e-3,7_4:476.444; 7_6:369.778; 7_10:298.667
Q8,101.27,138.66,5.175,-0.31746,2.690e-2,0.0404,0.0134,5351.111,2.681e-4,2.681e-4,2.681e-4,8_9:7.574e-3; 8_11:6.543e-3; 8_5:7.895e-3,8_9:412.444; 8_11:348.444; 8_5:305.778
Q9,146.02,109.54,5.254,-0.33386,9.400e-3,0.0152,0.0036,5351.111,1.904e-4,1.904e-4,1.904e-4,9_8:7.574e-3,9_8:448
Q10,89.62,102.69,5.427,-0.32983,1.320e-2,0.0194,0.007,5351.111,3.325e-4,3.325e-4,3.325e-4,10_12:1.298e-2; 10_7:7.022e-3,10_12:775.111; 10_7:263.111
Q11,99.36,93.07,5.39,-0.33061,1.340e-2,0.0236,0.0032,5351.111,1.986e-4,1.986e-4,1.986e-4,11_8:6.543e-3; 11_14:9.054e-3,11_8:312.889; 11_14:348.444
Q12,114.92,123,5.264,-0.31645,1.260e-2,0.0192,0.006,5351.111,1.886e-4,1.886e-4,1.886e-4,12_15:7.330e-3; 12_10:1.298e-2; 12_13:5.415e-3,12_15:376.889; 12_10:739.556; 12_13:348.444
Q13,162.21,162.86,5.038,-0.33734,8.600e-3,0.0144,0.0028,5351.111,1.670e-4,1.670e-4,1.670e-4,13_14:9.562e-3; 13_12:5.415e-3,13_14:398.222; 13_12:384
Q14,122.52,137.53,5.205,-0.31733,3.560e-2,0.0618,0.0094,5351.111,4.664e-4,4.664e-4,4.664e-4,14_13:9.562e-3; 14_11:9.054e-3,14_13:362.667; 14_11:384
Q15,97.32,166.79,5.126,-0.33428,1.790e-2,0.0296,0.0062,5351.111,2.857e-4,2.857e-4,2.857e-4,15_12:7.330e-3,15_12:412.444
